fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,color,index,taste
7.1,0.59,0.01,2.3,0.08,27,43,0.9955,3.42,0.58,10.7,1,896,1
7.6,0.665,0.1,1.5,0.066,27,55,0.99655,3.39,0.51,9.3,1,836,0
6,0.24,0.32,6.3,0.03,34,129,0.9946,3.52,0.41,10.4,0,2765,0
5,0.38,0.01,1.6,0.048,26,60,0.99084,3.7,0.75,14,1,1271,1
8.2,0.31,0.43,7,0.047,18,87,0.99628,3.23,0.64,10.6,0,5449,0
6.6,0.28,0.36,1.7,0.038,22,101,0.9912,3.29,0.57,11.6,0,2271,1
6.7,0.3,0.5,12.1,0.045,38,127,0.9974,3.04,0.53,8.9,0,6391,1
6.7,0.27,0.3,13.9,0.029,34,131,0.9953,3.36,0.5,12,0,3416,1
9,0.2,0.33,3.5,0.049,10,40,0.9944,3.14,0.36,9.8,0,6122,1
7.2,0.21,0.33,3,0.036,35,132,0.9928,3.25,0.4,11,0,3295,1
6.2,0.53,0.02,0.9,0.035,6,81,0.99234,3.24,0.35,9.5,0,6478,0
6.5,0.36,0.28,3.2,0.037,29,119,0.9908,3.25,0.65,12.4,0,2210,1
8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,0,1602,1
5.6,0.18,0.58,1.25,0.034,29,129,0.98984,3.51,0.6,12,0,4466,1
6.2,0.31,0.26,4.8,0.037,36,148,0.9928,3.21,0.41,10.4,0,1909,1
8.9,0.59,0.5,2,0.337,27,81,0.9964,3.04,1.61,9.5,1,227,1
6,0.25,0.28,2.2,0.026,54,126,0.9898,3.43,0.65,12.9,0,2042,1
7.2,0.24,0.28,1.9,0.032,30,92,0.9914,3.1,0.39,10.9,0,5136,1
8.1,0.17,0.44,14.1,0.053,43,145,1.0006,3.28,0.75,8.8,0,2379,1
6.2,0.45,0.73,7.2,0.099,47,202,0.99582,3.21,0.43,9.2,0,3971,0
10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,1,431,1
7.2,0.45,0.15,2,0.078,10,28,0.99609,3.29,0.51,9.9,1,1379,1
12.5,0.37,0.55,2.6,0.083,25,68,0.9995,3.15,0.82,10.4,1,473,1
6.7,0.23,0.17,1.3,0.061,14,100,0.9925,3.07,0.55,9.5,0,6109,0
7.9,0.2,0.49,1.6,0.053,15,144,0.993,3.16,0.47,10.5,0,3109,0
6.1,0.25,0.28,10,0.055,56,131,0.994,3.22,0.35,10.9,0,5743,1
7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,1,246,1
6.5,0.3,0.27,4,0.038,37,97,0.99026,3.2,0.6,12.6,0,5080,1
7.3,0.18,0.31,17.3,0.055,32,197,1.0002,3.13,0.46,9,0,3599,1
7,0.36,0.25,5.7,0.015,14,73,0.98963,2.82,0.59,13.2,0,5950,1
7.2,0.32,0.4,8.7,0.038,45,154,0.99568,3.2,0.47,10.4,0,4747,1
7.4,0.21,0.3,8.1,0.047,13,114,0.9941,3.12,0.35,10.5,0,3566,1
6.5,0.22,0.72,6.8,0.042,33,168,0.9958,3.12,0.36,9.2,0,2926,1
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,1,92,1
8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5,1,17,1
7.2,0.4,0.38,2.2,0.03,40,109,0.99075,3.27,0.46,12.6,0,4754,1
6.5,0.19,0.3,0.8,0.043,33,144,0.9936,3.42,0.39,9.1,0,1823,1
8.8,0.27,0.25,5,0.024,52,99,0.9925,2.87,0.49,11.4,0,5003,0
5.8,0.3,0.38,4.9,0.039,22,86,0.98963,3.23,0.58,13.1,0,6011,1
7.2,0.23,0.39,1.5,0.053,26,106,0.99166,3.18,0.47,11.1,0,5542,1
8.8,0.23,0.74,3.2,0.042,15,126,0.9934,3.02,0.51,11.2,0,3111,1
7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7,0,4093,0
15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,1,244,1
9.6,0.25,0.54,1.3,0.04,16,160,0.9938,2.94,0.43,10.5,0,2912,0
7.3,0.59,0.26,2,0.08,17,104,0.99584,3.28,0.52,9.9,1,1398,0
7.3,0.34,0.33,2.5,0.064,21,37,0.9952,3.35,0.77,12.1,1,1418,1
7.3,0.32,0.34,6.6,0.032,24,112,0.99505,3.22,0.46,9.8,0,2404,1
6.4,0.23,0.39,1.8,0.032,23,118,0.9912,3.32,0.5,11.8,0,1858,1
7.2,0.53,0.14,2.1,0.064,15,29,0.99323,3.35,0.61,12.1,1,1298,1
5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,0,5873,1
7.3,0.2,0.29,19.9,0.039,69,237,1.00037,3.1,0.48,9.2,0,5147,1
8,0.6,0.08,2.6,0.056,3,7,0.99286,3.22,0.37,13,1,1288,0
8.9,0.635,0.37,1.7,0.263,5,62,0.9971,3,1.09,9.3,1,241,0
5.7,0.21,0.24,2.3,0.047,60,189,0.995,3.65,0.72,10.1,0,2935,1
6.3,0.47,0,1.4,0.055,27,33,0.9922,3.45,0.48,12.3,1,1123,1
6.9,0.26,0.31,7,0.039,37,175,0.99376,3.32,0.49,11.4,0,4099,1
10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,1,435,1
6.4,0.25,0.57,1,0.062,21,122,0.99238,3,0.4,9.5,0,5601,0
11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9,1,1021,1
6.7,0.3,0.29,2.8,0.025,37,107,0.99159,3.31,0.63,11.3,0,4204,1
5.9,0.29,0.16,7.9,0.044,48,197,0.99512,3.21,0.36,9.4,0,6004,0
5.7,0.2,0.24,13.8,0.047,44,112,0.99837,2.97,0.66,8.8,0,6180,1
10.6,0.48,0.64,2.2,0.111,6,20,0.997,3.26,0.66,11.7,1,417,1
7.1,0.2,0.31,7.4,0.053,32,211,0.99587,3.31,0.59,10.4,0,4384,1
5.6,0.13,0.27,4.8,0.028,22,104,0.9948,3.34,0.45,9.2,0,3642,1
9.9,0.5,0.24,2.3,0.103,6,14,0.9978,3.34,0.52,10,1,577,0
6.4,0.16,0.37,1.5,0.037,27,109,0.99345,3.38,0.5,9.8,0,4128,1
5.7,0.46,0.46,1.4,0.04,31,169,0.9932,3.13,0.47,8.8,0,3659,0
7.4,0.38,0.27,7.5,0.041,24,160,0.99535,3.17,0.43,10,0,2344,0
9.1,0.28,0.46,9,0.114,3,9,0.99901,3.18,0.6,10.9,1,912,1
6.3,0.25,0.23,14.9,0.039,47,142,0.99705,3.14,0.35,9.7,0,3342,1
7.6,0.33,0.35,6.3,0.036,12,126,0.9924,3.16,0.39,12,0,2440,1
6.4,0.125,0.29,5.85,0.042,24,99,0.992,3.23,0.32,12,0,2727,1
7.6,0.2,0.34,1.8,0.041,42,148,0.99335,3.35,0.66,11.1,0,3923,1
6.2,0.55,0.45,12,0.049,27,186,0.9974,3.17,0.5,9.3,0,2674,1
6.5,0.44,0.47,5.45,0.014,44,137,0.98984,3.13,0.32,13,0,4522,1
7.9,0.3,0.68,8.3,0.05,37.5,278,0.99316,3.01,0.51,12.3,1,1080,1
6.9,0.14,0.29,9.9,0.056,30,91,0.99512,3.19,0.33,9.9,0,5526,1
6.7,0.23,0.42,11.2,0.047,52,171,0.99758,3.54,0.74,10.4,0,3843,0
10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,1,502,1
7.7,0.26,0.31,1.3,0.043,47,155,0.9937,3.42,0.5,10.1,0,2834,1
8.5,0.24,0.47,15.2,0.057,40,234,1.0005,3.02,0.66,9,0,3706,0
6.3,0.34,0.52,6.3,0.047,63,186,0.99481,3.18,0.44,9.6,0,5756,0
6.7,0.21,0.37,2.5,0.034,35,89,0.9913,3.25,0.5,11,0,4716,1
7.1,0.28,0.26,1.9,0.049,12,86,0.9934,3.15,0.38,9.4,0,2263,0
7.3,0.19,0.68,1.5,0.05,31,156,0.9946,3.32,0.64,9.4,0,2861,1
7.1,0.23,0.3,2.6,0.034,62,148,0.99121,3.03,0.56,11.3,0,5947,1
7.3,0.59,0.26,7.2,0.07,35,121,0.9981,3.37,0.49,9.4,1,165,0
6.6,0.24,0.27,1.4,0.057,33,152,0.9934,3.22,0.56,9.5,0,1643,1
8.2,0.915,0.27,2.1,0.088,7,23,0.9962,3.26,0.47,10,1,601,0
7.5,0.16,0.38,12.7,0.043,70.5,163,0.99706,3.15,0.82,10.4,0,5672,1
6.5,0.52,0.17,1.4,0.047,5,26,0.9932,3.26,0.32,10,0,2714,0
7,0.17,0.37,1.5,0.028,26,75,0.9922,3.3,0.46,10.8,0,2801,1
6.8,0.39,0.31,14.35,0.043,28,162,0.9988,3.17,0.54,9.1,0,2732,0
6.1,0.28,0.24,19.95,0.074,32,174,0.99922,3.19,0.44,9.3,0,4092,1
6.2,0.16,0.34,1.7,0.038,85,153,0.9909,3.33,0.86,12,0,4493,1
6.9,0.16,0.3,9.6,0.057,50,185,0.9978,3.39,0.38,9.6,0,3334,1
7.3,0.205,0.31,1.7,0.06,34,110,0.9963,3.72,0.69,10.5,0,2434,1
7.5,0.33,0.38,8.7,0.126,49,199,0.99711,2.98,0.57,9.4,0,4649,0
7.4,0.36,0.29,2.6,0.087,26,72,0.99645,3.39,0.68,11,1,315,0
7.9,0.25,0.34,11.4,0.04,53,202,0.99708,3.11,0.57,9.6,0,3951,1
10.3,0.43,0.44,2.4,0.214,5,12,0.9994,3.19,0.63,9.5,1,309,1
8.8,0.33,0.44,6.35,0.024,9,87,0.9917,2.96,0.4,12.6,0,2668,1
8,0.28,0.3,8.4,0.03,35,115,0.99192,2.93,0.42,12.3,0,4993,1
6.1,0.16,0.29,6,0.03,29,144,0.99474,3.68,0.46,10.7,0,3969,1
6.7,0.32,0.44,2.4,0.061,24,34,0.99484,3.29,0.8,11.6,1,1585,1
7.9,0.28,0.41,2,0.044,50,152,0.9934,3.45,0.49,10.7,0,2524,1
5.8,0.15,0.49,1.1,0.048,21,98,0.9929,3.19,0.48,9.2,0,3256,0
7.3,0.23,0.24,0.9,0.031,29,86,0.98926,2.9,0.38,12.2,0,5055,1
7,0.34,0.1,3.5,0.044,17,63,0.9937,3.01,0.39,9.2,0,5493,0
7,0.55,0.13,2.2,0.075,15,35,0.9959,3.36,0.59,9.7,1,1536,1
8.3,0.16,0.37,7.9,0.025,38,107,0.99306,2.93,0.37,11.9,0,4792,1
6.9,0.25,0.3,4.1,0.054,23,116,0.994,2.99,0.38,9.4,0,1752,1
6.8,0.21,0.26,11.7,0.038,61,152,0.99523,3.02,0.56,10.5,0,5266,1
5.7,0.385,0.04,12.6,0.034,22,115,0.9964,3.28,0.63,9.9,0,3644,1
7.4,0.31,0.26,8.6,0.048,47,206,0.9964,3.26,0.36,9.1,0,5737,0
7.4,0.3,0.22,5.25,0.053,33,180,0.9926,3.13,0.45,11.6,0,3593,1
7.8,0.53,0.33,2.4,0.08,24,144,0.99655,3.3,0.6,9.5,1,220,0
7.2,0.2,0.61,16.2,0.043,14,103,0.9987,3.06,0.36,9.2,0,3485,1
6.4,0.41,0.01,6.1,0.048,20,70,0.99362,3.19,0.42,10,0,5660,0
6.5,0.19,0.27,4.9,0.037,13,101,0.9916,3.17,0.41,11.8,0,3997,1
13.5,0.53,0.79,4.8,0.12,23,77,1.0018,3.18,0.77,13,1,354,0
7.8,0.17,0.5,1.3,0.045,35,140,0.9904,3.16,0.4,12,0,4742,1
6.8,0.23,0.29,12.2,0.035,38,236,0.9976,3.35,0.52,9.8,0,2484,1
5.6,0.28,0.28,4.2,0.044,52,158,0.992,3.35,0.44,10.7,0,5193,1
6.9,0.63,0.02,1.9,0.078,18,30,0.99712,3.4,0.75,9.8,1,1443,0
6.7,0.26,0.49,8.1,0.052,48,197,0.99558,3.19,0.48,9.5,0,5423,0
6.1,0.38,0.42,5,0.016,31,113,0.99007,3.15,0.31,12.4,0,4580,1
6.7,0.24,0.3,10.2,0.07,44,179,0.99666,2.86,0.46,8.9,0,5690,1
7.7,0.24,0.3,1.4,0.041,15,102,0.9929,3.26,0.53,10.4,0,5183,1
6.1,0.28,0.26,1.5,0.03,25,101,0.98894,3.03,0.41,12.1,0,5530,1
7.1,0.23,0.39,13.7,0.058,26,172,0.99755,2.9,0.46,9,0,6456,1
6.2,0.21,0.38,6.8,0.036,64,245,0.9951,3.06,0.36,9.3,0,2859,1
6.3,0.27,0.51,7.6,0.049,35,200,0.99548,3.16,0.54,9.4,0,5573,0
6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8,0,4302,0
7.6,0.36,0.49,11.3,0.046,87,221,0.9984,3.01,0.43,9.2,0,4979,0
6.3,0.19,0.28,1.8,0.022,28,158,0.9907,3.2,0.64,11.4,0,2093,1
6.6,0.36,0.28,6.1,0.029,12,93,0.99054,3.19,0.27,12.8,0,5224,1
6.9,0.24,0.37,6.1,0.027,38,112,0.99086,3.19,0.34,12.4,0,4646,1
6.3,0.21,0.33,13.9,0.046,68,179,0.9971,3.36,0.5,10.4,0,2242,1
7.7,0.28,0.24,2.4,0.044,29,157,0.99312,3.27,0.56,10.6,0,6061,1
6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5,0,5612,1
6.7,0.17,0.42,10.4,0.038,85,182,0.99628,3.04,0.44,8.9,0,4175,1
8.9,0.32,0.31,2,0.088,12,19,0.9957,3.17,0.55,10.4,1,1012,1
5.6,0.32,0.33,7.4,0.037,25,95,0.99268,3.25,0.49,11.1,0,4999,1
5.8,0.315,0.19,19.4,0.031,28,106,0.99704,2.97,0.4,10.55,0,6378,1
8.1,0.28,0.39,1.9,0.029,18,79,0.9923,3.23,0.52,11.8,0,1739,1
5.7,0.33,0.15,1.9,0.05,20,93,0.9934,3.38,0.62,9.9,0,3713,0
6.1,0.45,0.27,0.8,0.039,13,82,0.9927,3.23,0.32,9.5,0,2766,0
6.1,0.38,0.14,3.9,0.06,27,113,0.99344,3.07,0.34,9.2,0,5817,0
7,0.36,0.32,10.05,0.045,37,131,0.99352,3.09,0.33,11.7,0,4375,1
7.2,0.31,0.41,8.6,0.053,15,89,0.9976,3.29,0.64,9.9,0,3498,1
6.1,0.33,0.32,7.8,0.052,52,183,0.99657,3.39,0.65,9.5,0,5007,0
7.1,0.36,0.28,2.4,0.036,35,115,0.98936,3.19,0.44,13.5,0,5107,1
8.3,0.2,0.35,0.9,0.05,12,74,0.992,3.13,0.38,10.5,0,1901,1
6,0.31,0.27,2.3,0.042,19,120,0.98952,3.32,0.41,12.7,0,5866,1
6.6,0.31,0.49,7.7,0.05,52,220,0.9964,3.12,0.45,8.8,0,3258,0
5.8,0.18,0.28,1.3,0.034,9,94,0.99092,3.21,0.52,11.2,0,5004,1
6.6,0.56,0.14,2.4,0.064,13,29,0.99397,3.42,0.62,11.7,1,1535,1
7.2,0.3,0.3,8.1,0.05,40,188,0.99652,3.15,0.49,9.1,0,3967,1
7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,1,156,0
6.5,0.29,0.32,3,0.036,38,93,0.9906,3.16,0.59,12,0,6205,1
7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,0,5758,1
7.2,0.27,0.28,15.2,0.046,6,41,0.99665,3.17,0.39,10.9,0,4948,1
6.8,0.32,0.21,2.2,0.044,15,68,0.9932,3.17,0.39,9.4,0,2063,1
8,0.18,0.37,0.9,0.049,36,109,0.99007,2.89,0.44,12.7,1,1018,1
6.6,0.27,0.33,1.4,0.042,24,183,0.99215,3.29,0.46,10.7,0,5358,0
6.4,0.25,0.41,8.6,0.042,57,173,0.9965,3,0.44,9.1,0,2775,0
7,0.48,0.12,4.5,0.05,23,86,0.99398,2.86,0.35,9,0,5161,0
6.1,0.22,0.49,1.5,0.051,18,87,0.9928,3.3,0.46,9.6,0,3029,0
6.8,0.27,0.22,17.8,0.034,16,116,0.9989,3.07,0.53,9.2,0,5632,0
7.3,0.32,0.23,13.7,0.05,49,197,0.9985,3.2,0.46,8.7,0,1840,0
7.4,0.61,0.01,2,0.074,13,38,0.99748,3.48,0.65,9.8,1,934,0
8.1,0.36,0.59,13.6,0.051,60,134,0.99886,2.96,0.39,8.7,0,6030,0
6.6,0.3,0.25,8,0.036,21,124,0.99362,3.06,0.38,10.8,0,5233,1
7.5,0.29,0.67,8.1,0.037,53,166,0.9966,2.9,0.41,8.9,0,3496,1
8,0.27,0.25,19.1,0.045,50,208,1.00051,3.05,0.5,9.2,0,4011,1
6.4,0.3,0.16,7.5,0.05,55,191,0.9959,3.17,0.49,9,0,4084,0
6.2,0.44,0.18,7.7,0.096,28,210,0.99771,3.56,0.72,9.2,0,4022,0
11.4,0.625,0.66,6.2,0.088,6,24,0.9988,3.11,0.99,13.3,1,379,1
6.2,0.25,0.44,15.8,0.057,39,167,0.99804,3.14,0.51,9.2,0,5990,0
8.4,0.31,0.31,0.95,0.021,52,148,0.99038,2.93,0.32,11.5,0,4568,0
6.2,0.235,0.34,1.9,0.036,4,117,0.99032,3.4,0.44,12.2,0,4380,0
6.9,0.25,0.35,9.2,0.034,42,150,0.9947,3.21,0.36,11.5,0,3831,1
6,0.41,0.05,1.5,0.063,17,120,0.9932,3.21,0.56,9.2,0,2411,1
7.2,0.39,0.63,11,0.044,55,156,0.9974,3.09,0.44,8.7,0,1690,1
6,0.23,0.15,9.7,0.048,101,207,0.99571,3.05,0.3,9.1,0,5120,0
11.5,0.42,0.48,2.6,0.077,8,20,0.99852,3.09,0.53,11,1,1345,0
9.2,0.63,0.21,2.7,0.097,29,65,0.9988,3.28,0.58,9.6,1,458,0
7.7,0.38,0.23,10.8,0.03,28,95,0.99164,2.93,0.41,13.6,0,5114,1
6.9,0.22,0.28,7.8,0.05,43,116,0.99326,3.22,0.6,11.5,0,5532,1
6.4,0.17,0.27,6.7,0.036,88,223,0.9948,3.28,0.35,10.2,0,2857,1
6.8,0.29,0.56,11.9,0.043,66,230,0.9972,3.02,0.63,9.3,0,1785,0
7.2,0.19,0.31,6.3,0.034,17,103,0.99305,3.15,0.52,11.4,0,4603,1
8.9,0.745,0.18,2.5,0.077,15,48,0.99739,3.2,0.47,9.7,1,1035,1
6.9,0.3,0.3,10.55,0.037,4,28,0.99184,3.07,0.32,12.7,0,4584,1
7.9,0.14,0.74,1.2,0.028,30,165,0.991,3.08,0.82,12.3,0,3190,1
6.4,0.21,0.28,5.9,0.047,29,101,0.99278,3.15,0.4,11,0,4461,1
7.8,0.25,0.37,1,0.043,10,80,0.99128,3.08,0.38,11.4,0,4900,0
7.3,0.15,0.4,2,0.05,24,92,0.9932,3.14,0.45,10.5,0,2645,0
6,0.27,0.28,4.8,0.063,31,201,0.9964,3.69,0.71,10,0,1672,0
6.4,0.29,0.24,3.2,0.037,31,95,0.98942,2.9,0.66,12.6,0,5247,1
7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,1,1238,1
7.1,0.32,0.4,1.5,0.034,13,84,0.9944,3.42,0.6,10.4,0,3425,0
6.8,0.24,0.34,4.6,0.032,37,135,0.9927,3.2,0.39,10.6,0,1931,0
6.4,0.24,0.29,1,0.038,18,122,0.9906,3.3,0.42,11.5,0,4928,0
8.8,0.48,0.41,3.3,0.092,26,52,0.9982,3.31,0.53,10.5,1,608,1
6.9,0.36,0.28,13.55,0.048,51,189,0.99782,3,0.6,9.5,0,4943,1
7.2,0.24,0.29,3,0.036,17,117,0.99411,3.36,0.68,10.1,0,4023,1
7.6,0.32,0.58,16.75,0.05,43,163,0.9999,3.15,0.54,9.2,0,3778,0
6.1,0.4,0.18,9,0.051,28.5,259,0.9964,3.19,0.5,8.8,0,6114,0
7.2,0.17,0.28,17.55,0.05,33,154,0.99971,2.94,0.43,9,0,5654,1
6,0.33,0.38,9.7,0.04,29,124,0.9954,3.47,0.48,11,0,3760,1
6.6,0.27,0.32,1.3,0.044,18,93,0.99044,3.11,0.56,12.25,0,6320,0
7.6,0.37,0.51,11.7,0.094,58,181,0.99776,2.91,0.51,9,0,5473,0
6.4,0.28,0.41,6.8,0.045,61,216,0.9952,3.09,0.46,9.4,0,2601,0
8.4,0.2,0.38,11.8,0.055,51,170,1.0004,3.34,0.82,8.9,0,3598,1
8.9,0.29,0.35,1.9,0.067,25,57,0.997,3.18,1.36,10.3,1,640,1
6.8,0.77,0,1.8,0.066,34,52,0.9976,3.62,0.68,9.9,1,420,0
7.2,0.26,0.44,7.1,0.027,25,126,0.993,3.02,0.34,11.1,0,2818,1
8.9,0.26,0.33,8.1,0.024,47,202,0.99558,3.13,0.46,10.8,0,4207,1
9.3,0.38,0.48,3.8,0.132,3,11,0.99577,3.23,0.57,13.2,1,911,1
5.9,0.37,0.3,1.5,0.033,35,95,0.98986,3.36,0.56,12,0,6434,1
6.9,0.46,0.2,0.9,0.054,5,126,0.992,3.1,0.42,10.4,0,2979,1
6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,0,1620,1
7.1,0.31,0.25,11.2,0.048,32,136,0.99663,3.14,0.4,9.5,0,5967,0
8.1,0.3,0.49,12.3,0.049,50,144,0.9971,3.09,0.57,10.2,0,3243,1
7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,1,73,0
6.1,0.705,0.1,2.8,0.081,13,28,0.99631,3.6,0.66,10.2,1,1532,0
6.9,0.29,0.23,8.6,0.056,56,215,0.9967,3.17,0.44,8.8,0,3365,0
9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,1,644,0
9.7,0.295,0.4,1.5,0.073,14,21,0.99556,3.14,0.51,10.9,1,990,1
6.8,0.32,0.18,7.5,0.041,71,223,0.9959,3.14,0.41,8.9,0,2751,0
6.4,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,1,1194,0
5.7,0.21,0.24,2.3,0.047,60,189,0.995,3.65,0.72,10.1,0,2952,1
9.9,0.72,0.55,1.7,0.136,24,52,0.99752,3.35,0.94,10,1,1208,0
7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,0,2560,1
9,0.24,0.5,1.2,0.048,26,107,0.9918,3.21,0.34,12.4,0,2934,1
8.7,0.3,0.59,1.7,0.046,10,70,0.99373,3.06,0.56,10.8,0,4786,0
6,0.23,0.34,1.3,0.025,23,111,0.98961,3.36,0.37,12.7,0,6154,1
9.5,0.39,0.41,8.9,0.069,18,39,0.99859,3.29,0.81,10.9,1,1044,1
8.2,0.635,0.1,2.1,0.073,25,60,0.99638,3.29,0.75,10.9,1,1292,1
9.7,0.55,0.17,2.9,0.087,20,53,1.0004,3.14,0.61,9.4,1,656,0
7,0.2,0.33,4.7,0.03,25,76,0.99202,2.88,0.54,10.5,0,5888,1
6.5,0.22,0.28,3.7,0.059,29,151,0.99177,3.23,0.41,12.1,0,4932,1
5.9,0.34,0.31,2,0.03,38,142,0.98892,3.4,0.41,12.9,0,4270,1
6.7,0.26,0.29,5.8,0.025,26,74,0.9929,3.28,0.53,11,0,3983,1
10.6,1.02,0.43,2.9,0.076,26,88,0.9984,3.08,0.57,10.1,1,701,1
6.7,0.26,0.26,4,0.079,35.5,216,0.9956,3.31,0.68,9.5,0,2662,0
5.8,0.29,0.27,1.6,0.062,17,140,0.99138,3.23,0.35,11.1,0,6430,1
7.5,0.23,0.35,17.8,0.058,128,212,1.00241,3.44,0.43,8.9,0,3934,0
6.6,0.25,0.31,1.5,0.035,32,127,0.9921,3.41,0.47,11.3,0,3305,1
6.9,0.15,0.28,4.4,0.029,14,107,0.99347,3.24,0.46,10.4,0,3984,1
8.5,0.21,0.52,1.9,0.09,9,23,0.99648,3.36,0.67,10.4,1,956,0
8.6,0.42,0.39,1.8,0.068,6,12,0.99516,3.35,0.69,11.7,1,1203,1
6.8,0.32,0.34,1.2,0.044,14,67,0.9919,3.05,0.47,10.6,0,1878,0
7.7,0.23,0.31,10.7,0.038,59,186,0.9969,3.12,0.55,9.5,0,3714,1
6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,0,2588,0
7.6,0.2,0.68,12.9,0.042,56,160,0.99841,3.05,0.41,8.7,0,3985,0
7.3,0.3,0.34,2.7,0.044,34,108,0.99105,3.36,0.53,12.8,0,2432,1
6.9,0.615,0.42,12,0.067,24,131,0.99727,3.19,0.34,9.3,0,4341,0
6.4,0.69,0,1.65,0.055,7,12,0.99162,3.47,0.53,12.9,1,1000,1
6.8,0.27,0.37,8.2,0.055,52,192,0.99586,3.11,0.52,9.5,0,4827,1
6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,1,782,0
5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,1,50,0
6.3,0.27,0.49,1.2,0.063,35,92,0.9911,3.38,0.42,12.2,0,3046,1
7.8,0.16,0.41,1.7,0.026,29,140,0.991,3.02,0.78,12.5,0,2880,1
6.4,0.22,0.32,7.9,0.029,34,124,0.9948,3.4,0.39,10.2,0,3484,0
7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,0,1689,1
7,0.29,0.49,3.8,0.047,37,136,0.9938,2.95,0.4,9.4,0,3194,1
7.1,0.23,0.39,13.7,0.058,26,172,0.99755,2.9,0.46,9,0,6455,1
6.7,0.31,0.31,4.9,0.031,20,151,0.9926,3.36,0.82,12,0,3657,1
6.8,0.26,0.44,8.2,0.046,52,183,0.99584,3.2,0.51,9.4,0,4401,0
6,0.41,0.21,1.9,0.05,29,122,0.9928,3.42,0.52,10.5,0,2585,1
8,0.74,0.21,4,0.05,24,133,0.99418,3.06,0.38,9.7,0,4622,0
8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,1,103,1
8.6,0.265,0.36,1.2,0.034,15,80,0.9913,2.95,0.36,11.4,0,1697,1
7.6,0.18,0.36,2.4,0.049,38,123,0.996,3.6,0.46,10.3,0,3663,0
6.5,0.63,0.33,1.8,0.059,16,28,0.99531,3.36,0.64,10.1,1,1546,1
7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.1,1,1445,1
6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,0,6143,0
10.2,0.34,0.48,2.1,0.052,5,9,0.99458,3.2,0.69,12.1,1,954,1
6.3,0.2,0.4,1.5,0.037,35,107,0.9917,3.46,0.5,11.4,0,1997,1
7.9,0.18,0.37,3,0.061,25,178,0.995,3.22,0.51,10,0,3312,1
7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,1,702,1
8,0.17,0.29,2.4,0.029,52,119,0.98944,3.03,0.33,12.9,0,4286,1
7.1,0.39,0.12,2.1,0.065,14,24,0.99252,3.3,0.53,13.3,1,1119,1
7.1,0.44,0.27,8.4,0.057,60,160,0.99257,3.16,0.36,11.8,0,5668,1
6.6,0.39,0.38,9.7,0.053,49,226,0.99787,3.3,0.57,9.4,0,5199,1
7.4,0.38,0.34,8.3,0.052,44,168,0.99627,3.11,0.52,9.2,0,5926,0
7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,1,1344,1
6.6,0.17,0.28,1.1,0.034,55,108,0.98939,3,0.52,11.9,0,5196,1
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,0,4183,1
6.6,0.34,0.34,2.6,0.051,40.5,210,0.99314,3.15,0.61,10,0,4045,0
6.3,0.2,0.58,1.4,0.204,15,97,0.9931,3.16,0.43,10,0,3525,1
